X,Y,OBJECTID,FID_,Parcel_Num,Property_C,Property_S,Inventory,Zoned_As,Address1,County,City,Longitude,Latitude,Council_Di,Square_Foo,Business_I
-118.470975400804534,34.224936280148491,1001,0,2654019900,Not Classified,Owned,General Services,RA-1,MARKLEIN AVE/CHASE ST,LOS ANGELES,UNKNOWN,-118.4709754,34.22493628,6,455.7855502,None
-118.462163599807155,34.226020109767944,1002,0,2654023900,Not Classified,Owned,General Services,R1-1,WISNER AVE/CHASE ST,LOS ANGELES,UNKNOWN,-118.4621636,34.22602011,6,110.8292499, 
-118.468157599557273,34.217429159691378,1003,0,2654037902,OPLA,Owned,General Services,R3-1,LANARK ST/LANGDON AVE,Los Angeles,LOS ANGELES,-118.4681576,34.21742916,6,3171.218437,None
-118.465992300396437,34.256139099628236,1004,0,2660015901,Not Classified,Owned,General Services,P-1,HALBRENT AVE/TUBA ST,LOS ANGELES,UNKNOWN,-118.4659923,34.2561391,7,244.4978,None
-118.473117400361858,34.273087009833034,1005,0,2662009900,Not Classified,Owned,General Services,PF-1,LAHEY ST/BLUCHER AVE,LOS ANGELES,UNKNOWN,-118.4731174,34.27308701,12,237.59445,None
-118.476738499390677,34.255521490235431,1006,0,2669001900,Not Classified,Owned,General Services,A2-1,HASKELL AVE/LEMARSH ST,LOS ANGELES,UNKNOWN,-118.4767385,34.25552149,12,309.4564993, 
-118.483985399230491,34.233997569725346,1007,0,2672001900,Not Classified,Owned,General Services,(T)RS-1,COLLETT AVE/RAYEN ST,LOS ANGELES,UNKNOWN,-118.4839854,34.23399757,12,386.0041495,None
-118.480808299717381,34.225217719345807,1008,0,2673002901,Not Classified,Owned,General Services,(T)RS-1,GLORIA AVE/MALDEN ST,LOS ANGELES,UNKNOWN,-118.4808083,34.22521772,12,928.9314518, 
-118.490918999936895,34.253871999530837,1009,0,2678016900,OPLA,Owned,General Services,RS-1,MAYALL ST/ODESSA AVE,Los Angeles,LOS ANGELES,-118.490919,34.253872,12,1070.823914, 
-118.491533000230234,34.253876000142448,1010,0,2678020901,OPLA,Owned,General Services,RS-1,MAYALL ST/ODESSA AVE,Los Angeles,LOS ANGELES,-118.491533,34.253876,12,2296.0692,None
-118.500711900463415,34.251961059788059,1011,0,2685005900,Not Classified,Owned,General Services,A2-1,VINTAGE ST/MCLENNAN AVE,LOS ANGELES,UNKNOWN,-118.5007119,34.25196106,12,958.6352497,None
