,Property_C,Address1,County,City,Latitude,Longitude,Council_Di
0,Not Classified,MARKLEIN AVE/CHASE ST,LOS ANGELES,UNKNOWN,34.22493628,-118.4709754,6
1,Not Classified,WISNER AVE/CHASE ST,LOS ANGELES,UNKNOWN,34.22602011,-118.4621636,6
2,OPLA,LANARK ST/LANGDON AVE,Los Angeles,LOS ANGELES,34.21742916,-118.46815759999998,6
3,Not Classified,HALBRENT AVE/TUBA ST,LOS ANGELES,UNKNOWN,34.2561391,-118.4659923,7
4,Not Classified,LAHEY ST/BLUCHER AVE,LOS ANGELES,UNKNOWN,34.27308701,-118.4731174,12
5,Not Classified,HASKELL AVE/LEMARSH ST,LOS ANGELES,UNKNOWN,34.25552149,-118.4767385,12
6,Not Classified,COLLETT AVE/RAYEN ST,LOS ANGELES,UNKNOWN,34.23399757,-118.48398540000001,12
7,Not Classified,GLORIA AVE/MALDEN ST,LOS ANGELES,UNKNOWN,34.22521772,-118.48080829999999,12
8,OPLA,MAYALL ST/ODESSA AVE,Los Angeles,LOS ANGELES,34.253871999999994,-118.49091899999999,12
9,OPLA,MAYALL ST/ODESSA AVE,Los Angeles,LOS ANGELES,34.253876,-118.491533,12
10,Not Classified,VINTAGE ST/MCLENNAN AVE,LOS ANGELES,UNKNOWN,34.25196106,-118.5007119,12
11,Not Classified,VALJEAN AVE/RAYEN ST,LOS ANGELES,UNKNOWN,34.23384371,-118.48734040000001,12
12,Not Classified,BRYANT ST/RUBIO AVE,LOS ANGELES,UNKNOWN,34.22755999,-118.4956695,12
13,Not Classified,AMESTOY AVE/RAYMER ST,LOS ANGELES,UNKNOWN,34.22394888,-118.50702220000001,12
14,Not Classified,OAK PARK AVE/PARTHENIA ST,LOS ANGELES,UNKNOWN,34.22654015,-118.5059113,12
15,Not Classified,OAK PARK AVE/CHASE ST,LOS ANGELES,UNKNOWN,34.226206299999994,-118.50591419999999,12
16,Not Classified,ALDEA AVE/LUDLOW ST,LOS ANGELES,UNKNOWN,34.27125001,-118.5087405,12
17,Not Classified,LAHEY ST/ENCINO AVE,LOS ANGELES,UNKNOWN,34.27327363,-118.5160759,12
18,Not Classified,KINGSBURY ST/JORDAN AVE,LOS ANGELES,UNKNOWN,34.26358444,-118.6022977,12
19,Not Classified,KINZIE ST/SHOUP AVE,LOS ANGELES,UNKNOWN,34.24855996,-118.61436289999999,12
20,Not Classified,ANDASOL AVE/TUBA ST,LOS ANGELES,UNKNOWN,34.25676525,-118.5132814,12
21,Not Classified,SEPTO ST/GIERSON AVE,LOS ANGELES,UNKNOWN,34.25101075,-118.6107757,12
22,Not Classified,COZYCRAFT AVE/SUPERIOR ST,LOS ANGELES,UNKNOWN,34.24730592,-118.5819936,12
23,Not Classified,SUPERIOR ST/WHITE OAK AVE,LOS ANGELES,UNKNOWN,34.24674149,-118.5193743,12
24,Not Classified,CALVIN AVE/LABRADOR ST,LOS ANGELES,UNKNOWN,34.24817779,-118.5549794,12
25,Not Classified,PRAIRIE ST/VANALDEN AVE,LOS ANGELES,UNKNOWN,34.23912428,-118.5486071,12
26,Not Classified,SUNBURST ST/GEYSER AVE,LOS ANGELES,UNKNOWN,34.23462711,-118.5429643,12
27,Not Classified,SUNBURST ST/GEYSER AVE,LOS ANGELES,UNKNOWN,34.23454467,-118.5429642,12
28,Not Classified,DELCO AVE/NAPA ST,LOS ANGELES,UNKNOWN,34.22721912,-118.57854350000001,3
29,Not Classified,PENFIELD AVE/CHASE ST,LOS ANGELES,WINNETKA,34.22635138,-118.568919,3
30,Not Classified,PENFIELD AVE/BRYANT ST,LOS ANGELES,WINNETKA,34.2268408,-118.5688648,3
31,Not Classified,GEYSER AVE/CHASE ST,LOS ANGELES,UNKNOWN,34.22498707,-118.5425217,12
32,Not Classified,YOLANDA AVE/COMMUNITY ST,LOS ANGELES,UNKNOWN,34.2238672,-118.5404692,12
33,Not Classified,ROSCOE BLVD/GEYSER AVE,LOS ANGELES,UNKNOWN,34.22112715,-118.54314309999998,12
34,OPLA,LA TUHERA BLVD/78TH ST,LOS ANGELES,LOS ANGELES,33.96881446,-118.3816101,11
35,OPLA,LA TUHERA BLVD/79TH ST,Los Angeles,LOS ANGELES,33.96909749,-118.38079479999999,11
36,OPLA,83RD ST/AIRLANE AVE,Los Angeles,LOS ANGELES,33.96362028,-118.3899442,11
37,OPLA,SEPULVEDA BLVD/80TH ST,Los Angeles,LOS ANGELES,33.965866999999996,-118.39636899999999,11
38,OPLA,MANCHESTER AVE/SEPULVEDA WWAY,Los Angeles,LOS ANGELES,33.9574,-118.399368,11
