,address,lat,lng
0,"5th Ave, New York, NY, USA",40.7744146,-73.9656177
1,"63rd Rd, Queens, NY, USA",40.7330314,-73.85420470000001
2,"Davenport Ct, Queens, NY 11414, USA",40.6537215,-73.8279791
3,"W 104th St, New York, NY 10025, USA",40.7987854,-73.96584930000002
4,"Beach 13th St, Queens, NY 11691, USA",40.5974405,-73.74711529999999
5,"New Haven Ave, Queens, NY 11691, USA",40.6004612,-73.75208289999999
6,"Arthur Kill Rd, Staten Island, NY, USA",40.5558469,-74.2016273
7,"E 102nd St, New York, NY 10029, USA",40.7896851,-73.9481469
8,"Plimpton Ave, The Bronx, NY 10452, USA",40.8431692,-73.92255899999999
9,"1528 Surf Ave, Brooklyn, NY 11224, USA",40.5750289,-73.98313499999999
10,"Beach 36th St, Queens, NY, USA",40.595021,-73.768508
11,"Beach 37th St, Queens, NY 11691, USA",40.5950278,-73.7695734
12,"Manor Rd, Staten Island, NY, USA",40.6052122,-74.12084560000001
13,"Fine Blvd, Staten Island, NY 10314, USA",40.6069948,-74.11395540000001
14,"Beach 36th St, Queens, NY, USA",40.595021,-73.768508
15,"Bayview Terrace, Staten Island, NY 10312, USA",40.5265344,-74.1649841
16,"45 Somers St, Brooklyn, NY 11233, USA",40.678928,-73.911631
17,"Melrose Ave, The Bronx, NY, USA",40.8223113,-73.9148502
18,"387 E 156th St, The Bronx, NY 10455, USA",40.821123,-73.91584999999999
19,"Riverdale Ave, The Bronx, NY, USA",40.8844368,-73.90762699999999
20,"4-80 Beach 43rd St, Far Rockaway, NY 11691, USA",40.598161,-73.7747739
21,"Beach 43rd St, Queens, NY, USA",40.5968581,-73.7748957
22,"Beach 43rd St, Queens, NY, USA",40.5968581,-73.7748957
23,"5-18 Beach 43rd St, Far Rockaway, NY 11691, USA",40.599169,-73.77488699999999
24,"Beach 43rd St, Queens, NY, USA",40.5968581,-73.7748957
25,"Beach 44th St, Queens, NY 11691, USA",40.59567,-73.7757202
26,"5-74 Beach 44th St, Far Rockaway, NY 11691, USA",40.600521,-73.7760574
27,"Beach 44th St, Queens, NY 11691, USA",40.59567,-73.7757202
28,"Beach 44th St, Queens, NY 11691, USA",40.59567,-73.7757202
